,label,elem,chem_function_name,density_function_name,resolution,material,carbon_level,hydration_level,serial,filename
0,C,C,soil_characteristic_function_C,density_char_1.315,"(1, 1, 1)",,,,000,C.txt
1,H,H,soil_characteristic_function_H,density_char_1.315,"(1, 1, 1)",,,,001,H.txt
2,O,O,soil_characteristic_function_O,density_char_1.315,"(1, 1, 1)",,,,002,O.txt
3,Si,Si,soil_characteristic_function_Si,density_char_1.315,"(1, 1, 1)",,,,003,Si.txt
4,Na,Na,soil_characteristic_function_Na,density_char_1.315,"(1, 1, 1)",,,,004,Na.txt
5,Al,Al,soil_characteristic_function_Al,density_char_1.315,"(1, 1, 1)",,,,005,Al.txt
6,K,K,soil_characteristic_function_K,density_char_1.315,"(1, 1, 1)",,,,006,K.txt
7,Water,,Water,density_char_1p315,"(1, 1, 1)",Water,,,007,Water.txt
8,MQuartz_D1p315_C0p0_H0p0,,material_to_carbon_mechanical_mix_Quartz_0p0,density_char_1p315,"(1, 1, 1)",Quartz,0.0,0.0,008,MQuartz_D1p315_C0p0_H0p0.txt
9,MQuartz_D1p315_C0p0_H0p05,,material_to_carbon_mechanical_mix_Quartz_0p0,density_char_1p315,"(1, 1, 1)",Quartz,0.0,0.05,009,MQuartz_D1p315_C0p0_H0p05.txt
10,MQuartz_D1p315_C0p0_H0p1,,material_to_carbon_mechanical_mix_Quartz_0p0,density_char_1p315,"(1, 1, 1)",Quartz,0.0,0.1,010,MQuartz_D1p315_C0p0_H0p1.txt
11,MQuartz_D1p315_C0p0_H0p15,,material_to_carbon_mechanical_mix_Quartz_0p0,density_char_1p315,"(1, 1, 1)",Quartz,0.0,0.15,011,MQuartz_D1p315_C0p0_H0p15.txt
12,MQuartz_D1p315_C0p0_H0p2,,material_to_carbon_mechanical_mix_Quartz_0p0,density_char_1p315,"(1, 1, 1)",Quartz,0.0,0.2,012,MQuartz_D1p315_C0p0_H0p2.txt
13,MQuartz_D1p315_C0p01_H0p0,,material_to_carbon_mechanical_mix_Quartz_0p01,density_char_1p315,"(1, 1, 1)",Quartz,0.01,0.0,013,MQuartz_D1p315_C0p01_H0p0.txt
14,MQuartz_D1p315_C0p01_H0p05,,material_to_carbon_mechanical_mix_Quartz_0p01,density_char_1p315,"(1, 1, 1)",Quartz,0.01,0.05,014,MQuartz_D1p315_C0p01_H0p05.txt
15,MQuartz_D1p315_C0p01_H0p1,,material_to_carbon_mechanical_mix_Quartz_0p01,density_char_1p315,"(1, 1, 1)",Quartz,0.01,0.1,015,MQuartz_D1p315_C0p01_H0p1.txt
16,MQuartz_D1p315_C0p01_H0p15,,material_to_carbon_mechanical_mix_Quartz_0p01,density_char_1p315,"(1, 1, 1)",Quartz,0.01,0.15,016,MQuartz_D1p315_C0p01_H0p15.txt
17,MQuartz_D1p315_C0p01_H0p2,,material_to_carbon_mechanical_mix_Quartz_0p01,density_char_1p315,"(1, 1, 1)",Quartz,0.01,0.2,017,MQuartz_D1p315_C0p01_H0p2.txt
18,MQuartz_D1p315_C0p02_H0p0,,material_to_carbon_mechanical_mix_Quartz_0p02,density_char_1p315,"(1, 1, 1)",Quartz,0.02,0.0,018,MQuartz_D1p315_C0p02_H0p0.txt
19,MQuartz_D1p315_C0p02_H0p05,,material_to_carbon_mechanical_mix_Quartz_0p02,density_char_1p315,"(1, 1, 1)",Quartz,0.02,0.05,019,MQuartz_D1p315_C0p02_H0p05.txt
